距离,射速
1.434034034034034,34796.1321785452
1.4354354354354355,34812.82624726343
1.4368368368368367,34829.55102145937
1.4382382382382382,34846.30655043313
1.4396396396396396,34863.0928834849
1.441041041041041,34879.91006991479
1.4424424424424425,34896.75815902295
1.443843843843844,34913.637200109544
1.4452452452452453,34930.54724247469
1.4466466466466466,34947.48833541856
1.448048048048048,34964.46052824128
1.4494494494494494,34981.463870243
1.4508508508508509,34998.49841072387
1.4522522522522523,35015.56419898404
1.4536536536536535,35032.661284323636
1.455055055055055,35049.789716042804
1.4564564564564564,35066.94954344171
1.4578578578578578,35084.14081582048
1.4592592592592593,35101.36358247927
1.4606606606606607,35118.61789271822
1.4620620620620621,35135.90379583746
1.4634634634634636,35153.22134113717
1.4648648648648648,35170.57057791747
1.4662662662662662,35187.9515554785
